postal_code,municipality_code,NUTS3
8463,61054,AT225
5522,50419,AT322
4211,41601,AT312
3452,32104,AT126
6771,80119,AT341
2534,30601,AT127
8143,60660,AT221
3525,32522,AT124
5531,50406,AT322
8563,61612,AT225
8113,60641,AT221
9142,20807,AT213
5505,50415,AT322
3040,31926,AT123
6352,70509,AT335
3242,31551,AT121
4873,41709,AT315
9161,20417,AT211
4070,40503,AT312
2565,30645,AT122
8047,60623,AT221
4483,41006,AT312
3390,31524,AT121
5121,40443,AT311
4381,41121,AT313
2440,30731,AT127
2733,31813,AT122
2114,31627,AT126
4852,41749,AT315
5303,50337,AT323
9421,20913,AT213
6373,70408,AT335
3160,31413,AT122
6414,70209,AT334
6492,70204,AT334
5201,50339,AT323
2305,30813,AT126
9433,20913,AT213
2130,31633,AT125
6574,70616,AT334
8614,62105,AT223
7442,10809,AT111
4690,41725,AT315
9201,20415,AT211
2134,31649,AT125
4850,41743,AT315
6867,80236,AT341
6500,70614,AT334
7202,10609,AT112
7201,10607,AT112
2732,31847,AT122
3386,31910,AT123
3312,30522,AT121
6134,70936,AT335
3542,31311,AT124
6563,70606,AT334
8623,62138,AT223
3333,30533,AT121
8820,61439,AT226
8993,61215,AT222
8903,61222,AT222
4844,41731,AT315
3251,32008,AT121
4163,41315,AT313
3321,30503,AT121
6324,70516,AT335
4222,41120,AT313
5083,50314,AT323
8046,60646,AT221
4824,40706,AT315
8311,61716,AT224
8200,61719,AT224
3314,30534,AT121
7431,10901,AT113
8362,62252,AT224
8361,62378,AT224
3874,30925,AT124
3931,32525,AT124
4931,41215,AT311
6161,70332,AT332
4202,41611,AT312
4224,40624,AT313
9064,20442,AT211
2291,30830,AT126
6714,80117,AT341
9907,70732,AT333
2111,31207,AT126
3021,31951,AT126
3902,32219,AT124
3591,31101,AT124
8682,62143,AT223
6866,80202,AT341
8970,61265,AT222
8163,61758,AT224
6236,70501,AT335
3032,31905,AT123
6306,70526,AT335
2601,32327,AT122
8435,61045,AT225
6370,70414,AT335
2191,31612,AT125
6706,80106,AT341
4490,41013,AT312
6092,70306,AT332
6832,80420,AT342
6363,70420,AT335
5112,50322,AT323
5145,40427,AT311
5424,50213,AT323
5511,50412,AT322
2214,30804,AT126
3385,31932,AT123
2751,30401,AT122
2451,30713,AT127
5023,50321,AT323
8761,62043,AT226
3430,32135,AT126
3300,30541,AT121
8455,61024,AT225
8794,61120,AT223
4730,40831,AT311
4902,41750,AT315
4845,41731,AT315
4331,41114,AT313
6263,70909,AT335
4085,41312,AT311
4831,40712,AT315
8152,61624,AT225
2171,31621,AT125
4974,41220,AT311
9182,20722,AT211
7443,10811,AT111
6425,70202,AT334
9971,70717,AT333
9521,20724,AT211
6604,70816,AT331
6473,70224,AT334
2640,31808,AT122
6773,80129,AT341
5311,41712,AT315
3372,31505,AT121
2242,30848,AT126
3420,32144,AT126
8160,61766,AT224
6108,70348,AT332
